"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AJ1","Audio IN","~","LIBS:Jack_3.5mm","1",""
"AJ2","Audio Out","~","LIBS:Jack_3.5mm","1",""
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C18,C19,C20,C21,C22,C23","100n","~","LIBS:C_0805","17",""
"C12,C13","1u","~","LIBS:C_0805","2",""
"C14,C15","15p","~","LIBS:C_0805","2",""
"C16,C17","10u","~","LIBS:C_0805","2",""
"C24,C26,C27","10u (tantal)","~","-- mixed values --","3",""
"C25,C28","10n","~","LIBS:C_0805","2",""
"D1,D2,D3,D4","3V3","~","LIBS:D_0805","4",""
"D5","1N4148","~","LIBS:D_0805","1",""
"FL1","W25Q128JVSIQ","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","LIBS:SO_4x4","1",""
"HDMI1","HDMI","","LIBS:HDMI","1",""
"JOY1,JOY2","Joystick","~","LIBS:DSUB-9","2",""
"JP1","JMP PSRAM","~","LIBS:Jumper_S","1",""
"JP2","TAPE IN","~","LIBS:PinHeader_1x02","1",""
"JP3","I2S","~","LIBS:PinHeader_1x02","1",""
"JP4","Audio Jumpers","~","LIBS:PinHeader_2x03","1",""
"KB1","PS/2","http://service.powerdynamics.com/ec/Catalog17/Section%2011.pdf","LIBS:Connector_Mini-DIN_Female_6Pin_2rows","1",""
"L1","LED","~","LIBS:L_0805","1",""
"L2","GREEN","~","LIBS:L_0805","1",""
"PSR1","PSRAM","https://www.espressif.com/sites/default/files/documentation/esp-psram32_datasheet_en.pdf","LIBS:SO_4x4","1",""
"Q1,Q2","BC850","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657","LIBS:Q_SOT-23","2",""
"R1,R4,R5,R8,R9,R12,R13,R14,R24,R28,R32","1K","~","LIBS:R_0805","11",""
"R2,R3","27R","~","LIBS:R_0805","2",""
"R6,R7","5.1K","","LIBS:R_0805","2",""
"R10,R11,R27","100R","~","LIBS:R_0805","3",""
"R15,R16,R17,R18,R19,R20,R21,R22","270R","~","LIBS:R_0805","8",""
"R23,R25,R26","10K","~","LIBS:R_0805","3",""
"R29,R33","330R","~","LIBS:R_0805","2",""
"R30,R31","2K","~","LIBS:R_0805","2",""
"RP1","RP2040","","LIBS:RP2040-QFN-56","1",""
"SD1","47571-0001","https://componentsearchengine.com/Datasheets/2/47571-0001.pdf","LIBS:microsd","1",""
"SW1","Flash Button","~","LIBS:Button_SMD_3x3x2","1",""
"SW2","Reset Button","~","LIBS:Button_SMD_3x3x2","1",""
"TDA1","TDA1387T","","LIBS:SO_4x4","1",""
"U1","NCP1117-3.3_SOT223","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","LIBS:SOT-223","1",""
"USB1","USB Type C","","LIBS:USB-TYPE-C-31-M-12_lib2","1",""
"Y1","12 MHz","~","LIBS:CR_3225","1",""
