"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AU1","AUDIO OUT","~","LIBS:Medved_Jack_3.5mm_CUI_SJ1-3535NG_Horizontal","1",""
"AU2","AUDIO IN","~","LIBS:Medved_Jack_3.5mm_CUI_SJ1-3535NG_Horizontal","1",""
"C1,C2,C3,C6","1u","~","LIBS:Medved_CP_Radial_D5.0mm_P2.50mm","4",""
"C4,C7,C8,C14","100n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4",""
"C5,C13","0.1u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C9,C10,C15","10u","~","LIBS:Medved_CP_Radial_D5.0mm_P2.50mm","3",""
"C11,C12","10n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C16","220u","~","LIBS:Medved_CP_Radial_D5.0mm_P2.50mm","1",""
"CON1","Display","~","LIBS:Medved_PinHeader_1x08_P2.54mm_Vertical","1",""
"CON2","OUT","~","LIBS:Medved_Pins_1x03_P2.54mm_Vertical_GM","1",""
"CON3","IN","~","LIBS:Medved_Pins_1x03_P2.54mm_Vertical_GM","1",""
"D1,D2","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","LIBS:R_0805_PLUS","2",""
"D3","4148","~","LIBS:R_0805_PLUS","1",""
"D4,D5,D6,D7,PWR2","3V3","~","-- mixed values --","5",""
"DB1","RS232","~","LIBS:DSUB-9_Joystick","1",""
"DB2,DB3","Joystick","~","LIBS:DSUB-9_Joystick","2",""
"HDMI1","HDMI","","LIBS:HDMI","1",""
"JP1","JMP RUN","~","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","1",""
"JP2","Main Jumpers","~","LIBS:Medved_PinHeader_2x07_P2.54mm_Vertical","1",""
"JP3","GP18 Jumper","~","LIBS:Medved_PinHeader_1x02_P2.54mm_Vertical_R","1",""
"JP4","GP19 Jumper","~","LIBS:Medved_PinHeader_1x02_P2.54mm_Vertical_R","1",""
"JP5","JMP PSRAM","~","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","1",""
"JP6","RS232 Jumpers","~","LIBS:Medved_PinHeader_2x04_P2.54mm_Vertical","1",""
"JP7,JP9,JP10","RP ZERO +5V Jumper","~","LIBS:Medved_PinHeader_1x02_P2.54mm_Vertical_R","3",""
"JP8","I2S","~","LIBS:Medved_PinHeader_1x02_P2.54mm_Vertical_NoLB","1",""
