"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AU1","AUDIO OUT","~","LIBS:Medved_Jack_3.5mm_CUI_SJ1-3535NG_Horizontal","1",""
"C1,C2,C4,C6,C7,C8,C9,C10,C11,C14,C26","100n","~","LIBS:Medved_C_0805","11",""
"C3,C5","1u","~","LIBS:Medved_C_0805","2",""
"C12,C13","15p","~","LIBS:Medved_C_0805","2",""
"C15,C16,C19,C20,C23","10u","~","-- mixed values --","5",""
"C17,C18,C24,C25","0.1u","~","LIBS:Medved_C_0805","4",""
"C21,C22","10n","~","LIBS:Medved_C_0805","2",""
"D1,D2,D3,D4","3V3","~","LIBS:Medved_D_0805","4",""
"FL1","W25Q128JVS","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","LIBS:Medved_SOIC-8_5.23x5.23mm_P1.27mm","1",""
"HDMI1","HDMI","","LIBS:HDMI","1",""
"JOY1,JOY2","Joystick","~","LIBS:DSUB-9","2",""
"JP1","Audio Jumpers","~","LIBS:Medved_JMP_2x03","1",""
"JP2","I2S","~","LIBS:Medved_PinHeader_1x02","1",""
"JP3","JMP PSRAM","~","LIBS:Medved_Jumper_Solder","1",""
"KB1","PS/2","http://service.powerdynamics.com/ec/Catalog17/Section%2011.pdf","LIBS:Connector_Mini-DIN_Female_6Pin_2rows","1",""
"L1","LED","~","LIBS:Medved_L_0805","1",""
"L2","GREEN","~","LIBS:Medved_L_0805","1",""
"PSR1","PSRAM","https://www.espressif.com/sites/default/files/documentation/esp-psram32_datasheet_en.pdf","Package_SO:SO-8_5.3x6.2mm_P1.27mm","1",""
"R1,R2","27","~","LIBS:Medved_R_0805","2",""
"R3,R5,R9,R10,R15,R18,R19,R20","1k","~","LIBS:Medved_R_0805","8",""
"R4,R8","1K","~","LIBS:Medved_R_0805","2",""
"R6,R7","5.1K","","LIBS:Medved_R_0805","2",""
"R11,R12","100R","~","LIBS:Medved_R_0805","2",""
"R13,R14","330R","~","LIBS:Medved_R_0805","2",""
"R16,R17","2k","~","LIBS:Medved_R_0805","2",""
"R21,R22,R23,R24,R25,R26,R27,R28","270R","~","LIBS:Medved_R_0805","8",""
"RP1","RP2040","","LIBS:RP2040-QFN-56","1",""
"SD1","47571-0001","https://componentsearchengine.com/Datasheets/2/47571-0001.pdf","LIBS:microsd","1",""
"SW1","Flash Button","~","LIBS:Button_SMD_3x3x2","1",""
"SW2","Reset Button","~","LIBS:Button_SMD_3x3x2","1",""
"TDA1","TDA1387T","DOCUMENTATION","Package_SO:SO-8_5.3x6.2mm_P1.27mm","1",""
"U1","NCP1117-3.3_SOT223","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","LIBS:Medved_SOT-223-3_TabPin2","1",""
"USB1","USB Type C","","LIBS:USB-TYPE-C-31-M-12_lib2","1",""
"Y1","12 MHz","~","LIBS:Medved_CRYSTAL_3225","1",""
